"동별(1)",동별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
"동별(1)",동별(2),인원,인원,인원,인원,인원,인원,인원,인원,인원,인원
"동별(1)",동별(2),남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
"도봉구",방학3동,191,250,182,234,9,16,-,-,-,-
"도봉구",창1동,289,351,244,311,43,40,2,-,-,-
"도봉구",창2동,567,779,425,600,134,164,8,15,-,-
"도봉구",창3동,499,660,396,514,99,144,4,2,-,-
"도봉구",창4동,176,182,139,154,35,27,2,1,-,-
"도봉구",창5동,319,323,258,278,58,42,3,3,-,-
"도봉구",도봉1동,900,871,720,711,174,154,6,6,-,-
"도봉구",도봉2동,536,627,464,539,66,80,6,8,-,-
"도봉구",기타,81,225,3,10,-,1,-,-,78,214
"노원구",소계,13752,18701,10498,14532,2949,3639,86,116,219,414
"노원구",월계1동,460,381,341,287,115,89,4,5,-,-
"노원구",월계2동,1314,1713,1054,1407,250,293,10,13,-,-
"노원구",월계3동,873,1248,686,981,185,263,2,4,-,-
"노원구",공릉2동,464,583,371,474,92,108,1,1,-,-
"노원구",하계1동,1111,1711,863,1348,237,356,11,7,-,-
"노원구",하계2동,482,744,378,614,102,124,2,6,-,-
"노원구",중계본동,251,355,196,265,53,89,2,1,-,-
"노원구",중계1동,283,491,219,371,63,115,1,5,-,-
"노원구",중계4동,775,1047,637,866,135,175,3,6,-,-
"노원구",상계1동,812,1183,616,930,190,249,6,4,-,-
"노원구",상계2동,539,532,404,442,130,86,5,4,-,-
"노원구",상계5동,937,1175,653,830,279,333,5,12,-,-
"노원구",상계8동,124,213,107,179,16,34,1,-,-,-
"노원구",상계9동,229,342,198,294,29,46,2,2,-,-
"노원구",상계10동,170,258,137,199,33,56,-,3,-,-
"노원구",상계3.4동,1097,1437,820,1138,267,289,10,10,-,-
"노원구",상계6.7동,403,620,299,481,101,130,3,9,-,-
"노원구",중계2.3동,1976,2877,1513,2265,454,594,9,18,-,-
"노원구",공릉1동,1204,1354,977,1138,218,210,9,6,-,-
"노원구",기타,248,437,29,23,-,-,-,-,219,414
"은평구",소계,11792,14130,8281,10880,2233,2640,138,193,1140,417
"은평구",녹번동,845,949,691,797,145,144,9,8,-,-
"은평구",불광1동,822,1069,644,849,158,194,20,26,-,-
"은평구",갈현1동,616,738,442,524,169,208,5,6,-,-
"은평구",갈현2동,681,890,511,664,164,220,6,6,-,-
"은평구",구산동,692,948,552,759,133,183,7,6,-,-
"은평구",대조동,795,905,646,753,147,142,2,10,-,-
"은평구",응암1동,524,748,405,595,113,145,6,8,-,-
"은평구",응암2동,460,657,371,536,78,113,11,8,-,-
"은평구",신사1동,510,631,413,480,85,140,12,11,-,-
"은평구",신사2동,519,631,365,466,146,153,8,12,-,-
"은평구",증산동,345,389,254,301,89,84,2,4,-,-
"은평구",수색동,215,365,166,302,49,60,-,3,-,-
"은평구",진관동,635,1037,517,860,107,164,11,13,-,-
"은평구",불광2동,1036,1210,806,981,218,202,12,27,-,-
"은평구",응암3동,905,1077,658,835,227,211,20,31,-,-
"은평구",역촌동,1021,1451,810,1160,204,277,7,14,-,-
"은평구",기타,1171,435,30,18,1,-,-,-,1140,417
"서대문구",소계,5274,6727,4229,5456,887,995,39,55,119,221
"서대문구",천연동,339,437,279,377,57,57,3,3,-,-
"서대문구",홍제1동,388,448,326,369,61,74,1,5,-,-
"서대문구",홍제3동,343,494,288,425,51,64,4,5,-,-
"서대문구",홍제2동,248,389,218,342,27,46,3,1,-,-
"서대문구",홍은1동,337,422,292,370,43,49,2,3,-,-
"서대문구",홍은2동,576,701,443,528,131,170,2,3,-,-
"서대문구",남가좌1동,124,195,102,164,20,27,2,4,-,-
